Area da unidade territorial  2016,Estabelecimentos de Saude SUS,Indice de Desenvolvimento Humano Municipal  2010 IDHM 2010,Matricula  Ensino fundamental  2015,Matricula  Ensino medio  2015,Numero de unidades locais,Pessoal ocupado total,PIB per capita a precos correntes  2014,Populacao residente ,Populacao residente  Homens,Populacao residente  Mulheres,Populacao residente alfabetizada,Populacao residente que frequentava creche ou escola ,Populacao residente religiao catolica apostolica romana,Populacao residente religiao espirita,Populacao residente religiao evangelicas,Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes  Rural,Valor do rendimento nominal mediano mensal per capita dos domicilios particulares permanentes  Urbana,Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar por situacao do domicilio  Rural,Valor do rendimento nominal medio mensal dos domicilios particulares permanentes com rendimento domiciliar por situacao do domicilio  Urbana,Cidade
5279.419,7,0.656,2925,1011,290,1686,10005.94,17674,9171,8503,13741,5718,14644,62,2574,170.67,340.00,847.55,1437.12,Arinos
158.891,7,0.694,1389,425,528,4259,19129.44,13049,6553,6496,11381,3070,9212,799,2150,401.67,510.00,1243.75,1896.95,Astolfo Dutra
1836.925,7,0.588,1937,556,171,994,9148.80,14455,7311,7144,10198,4083,10271,58,2897,255.00,285.00,965.85,1153.44,Ataleia
1254.832,2,0.656,707,182,79,542,11409.10,4960,2525,2435,3860,1447,4094,4,752,310.00,378.75,1107.25,1419.46,Augusto de Lima
750.554,6,0.681,2395,763,630,3485,11701.13,18307,9175,9132,15592,4478,13338,156,4079,320.00,425.00,1258.67,1784.83,Baependi
556.266,5,0.671,1127,276,147,1353,10043.68,7913,3941,3972,6755,2012,6232,44,1215,411.75,445.00,1309.93,1496.64,Baldim
1455.819,16,0.741,2465,1018,565,4249,19275.14,22734,11252,11482,19980,6061,19955,374,1704,510.00,510.00,2238.89,2185.88,Bambui
483.789,2,0.599,695,188,58,354,7642.51,4987,2537,2450,3331,2006,4398,32,384,234.00,285.00,890.94,1114.31,Bandeira
47.266,3,0.692,772,272,153,1058,9576.89,5338,2742,2596,4534,1295,4594,-,674,480.00,510.00,1775.96,1734.57,Bandeira do Sul
340.585,21,0.722,4279,1182,752,5339,31258.16,28442,14070,14372,25086,8570,22498,182,4673,350.00,500.00,1109.79,1914.91,Barao de Cocais
198.313,5,0.649,783,219,80,535,7376.60,5720,2847,2873,4590,1578,4582,75,715,316.25,272.50,1169.84,1261.87,Barao de Monte Alto
759.186,57,0.769,15013,5646,3169,30082,17014.04,126284,60162,66122,111699,33132,109807,2308,9396,326.00,510.00,1628.20,2798.94,Barbacena
383.628,4,0.624,635,172,78,476,8483.51,6143,3022,3121,4955,1487,5612,14,429,255.00,340.00,989.85,1455.62,Barra Longa
82.070,12,0.734,2880,746,566,3713,17768.89,19599,9550,10049,17022,5415,16524,47,2520,255.00,405.00,847.12,1769.91,Barroso
109.143,3,0.674,1375,409,195,1170,23288.90,10004,4820,5184,8592,3037,6725,30,2513,265.00,395.00,1169.56,1567.84,Bela Vista de Minas
393.086,8,0.660,486,150,85,605,12170.06,3403,1722,1681,2767,924,2842,22,462,340.00,493.33,1341.78,1679.51,Belmiro Braga
331.401,328,0.810,286179,95271,112167,1387398,35187.85,2375151,1113513,1261638,2156876,719887,1422084,96639,595244,-,765.00,-,4647.73,Belo Horizonte
334.909,15,0.686,3436,974,386,6114,45820.12,23397,11621,11776,19140,7303,11301,55,8860,400.00,395.00,1679.73,1612.61,Belo Oriente
365.923,5,0.655,980,315,190,1022,16510.85,7536,3776,3760,6553,1793,6436,23,801,378.00,510.00,1448.76,1844.13,Belo Vale
587.106,8,0.628,1709,665,157,3476,6957.94,12300,6283,6017,9407,3868,10389,8,1451,252.00,340.00,1017.33,1372.26,Berilo
